"","hr_rfs_E6","lower_ci_E6","upper_ci_E6","pval_E6","hr_rfs_random6","lower_ci_random6","upper_ci_random6","pval_random6"
"189",83335888.7468988,0,Inf,0.9976566074912,2.02786389437716,0.677344799937452,6.07110584520357,0.206357023043831
"190",3305416.64862024,0,Inf,0.998211998934719,8.82321212147574,1.17195129627396,66.4268834277203,0.0345138795285059
"191",10.2788297569989,1.36673516621108,77.3041799065327,0.023607680167276,81127741.1120333,0,Inf,0.997396360250609
"192",1208366.14821304,0,Inf,0.998163610180874,3.90389684291757,1.72089354876405,8.8561030233901,0.00111866979197142
"193",2.54636541780133,0.715241383140533,9.06543859711278,0.14911164873413,1.93535349614536,0.40680820651143,9.20727039201658,0.406687149372234
"194",75194935.2044581,0,Inf,0.997544966109055,1.90464827706314,0.712541600510565,5.09119054483302,0.199016573722735
"195",281601427.926067,0,Inf,0.997602155345589,8.24068724482912e-07,0,Inf,0.998122600411936
"196",25.752382667837,3.40581460808797,194.721465900055,0.00164821187137639,78565860.2218281,0,Inf,0.998012101892824
"197",4.59520472597802,1.06551158527437,19.8176226007092,0.0408491576948506,7.10325912853088,2.70391405045918,18.660463796358,6.93613299539518e-05
"198",300877569.023734,0,Inf,0.997952146025069,25353653.4544984,0,Inf,0.998335013192596
"199",3.40473433344804,0.778301515350851,14.8942481194248,0.103716506052489,85786717.4536684,0,Inf,0.997266497573034
"200",4.66470425151501,0.635077355271548,34.2627013441508,0.130098786328669,3.34408837256618,1.67678753167127,6.66925703603375,0.000609151379712143
"201",18.8379669483522,2.50565759687719,141.627091901736,0.00433907685800974,2.80618280340374,1.00871349903317,7.8066387865995,0.0480887374069249
"202",3.53428716127305,0.801788388386274,15.5791551976451,0.0952984504828655,3.08710071527918,0.406957186598007,23.4181656943957,0.275563166250771
"203",6.75756812734739,2.27756859443432,20.0497702274838,0.000574555903777107,8.11035770534055,1.89425053860836,34.7250275335286,0.00478896170874834
"204",2.03024669631011,0.755195209538009,5.45806116858144,0.160470593715591,317966005.428929,0,Inf,0.997729084536737
"205",3.85936591138605,1.50351692197358,9.9065763878582,0.00498753728654928,4.06175796174871,1.69346323794738,9.74209381706208,0.00168869774618609
"206",3.46945316397154,1.15121616273096,10.4559904965521,0.0270947362900799,0.166691252998232,0.0484280269529838,0.57375812260732,0.00449910963851574
"207",26.2584006161654,7.25390521501112,95.0527450361752,6.39341238816131e-07,2.51231260991357,0.705214152959268,8.95006803741117,0.155269622363867
"208",3.62339467695339,1.5183791028437,8.64671343301917,0.00371860583971472,3.74094816732196,1.26127012911433,11.0957144449434,0.0173873697761775
"209",5.31851822635148,1.36266453852073,20.7583270309067,0.0161573224312767,92508088.9490342,0,Inf,0.997669769520683
"210",1.64980819909314,0.544235643668776,5.00126576687707,0.376263452190756,13.550661141479,1.80441971307898,101.761478241593,0.0112852077558752
"211",6.01383561283788,2.56858044329925,14.0802359811565,3.57479191616227e-05,3.29354437294109,1.20439267942565,9.00655967263506,0.0202168320978446
"212",7.15819813153123,2.60606374167573,19.6617602519996,0.000134569274713569,1.88605405774793,0.805615173668534,4.41550758353893,0.143760020971914
"213",27077584.5685057,0,Inf,0.997343726206549,1.56124735696087,0.494817269865567,4.92604736750505,0.447329839805633
"214",2.08354765508397,0.741777581710223,5.85238882657661,0.163591923312496,1.31013300114611,0.466016690957814,3.68323391414211,0.608510692460746
"215",4.7884780929337,1.40810213613705,16.2839909535328,0.0121415544788327,5.16942606667845,1.20410271208146,22.1932610820718,0.0271183116600249
"216",5.50270281991013,2.27553619290951,13.3066388566341,0.000153734360403474,8.72892112459828,3.64476280643772,20.905081632439,1.15997525113097e-06
"217",4.68413404709577,1.86366752395657,11.7730826390003,0.00102387951706556,80368662.4932445,0,Inf,0.99739877706712
"218",8.89145225759775,1.19427206352843,66.1975823294121,0.0329007573841297,1.44519243555994,0.603424881001659,3.46121156345545,0.408587667463761
"219",3.49289186061558,0.466005643014574,26.1805704133351,0.223604626023,1.07123540559523e-07,0,Inf,0.99679036622425
"220",8.70823303006976,3.84353391965617,19.730103621092,2.14322734366892e-07,1.1058431783126e-07,0,Inf,0.997897258121857
"221",25764806.5123669,0,Inf,0.997529259534087,3.22646642835509,1.1804074245711,8.8190614499777,0.0224153044840048
"222",9.11205100113449,2.96559558485277,27.9975711696368,0.00011429772603471,2.51446709374502,0.817829259575067,7.73088599056928,0.107609033517971
"223",1.60590093032018,0.475703629907428,5.42126995857708,0.445411864417161,1.57210727915595,0.210849128021698,11.7217525173772,0.658946739996898
"224",2.84022352605707,1.04502804648226,7.71928533891743,0.0407266675900856,12.412858872232,1.64377256571565,93.7350267279019,0.0146153701873474
"225",7.7634913784101,3.38895174876299,17.7847909474214,1.26045902303197e-06,2.23519704737057,0.962117883766196,5.19282088491789,0.0614600227649589
"226",468671331.014376,0,Inf,0.997346391040328,77754362.8929872,0,Inf,0.997814855578525
"227",1.99046684844906,0.426534760228621,9.28871136469893,0.381114162310593,3.13233208943853,0.945245560332011,10.3798470262903,0.0617836715144346
"228",1.13243062434882,0.261035350680538,4.91274118857752,0.86807426351167,2.9979046687036,1.1993106282707,7.49383203215161,0.018835190361701
"229",6.95739361558513,3.08708188955125,15.6799617418704,2.88463866085796e-06,2.75223482839571,1.13904620490753,6.65012228476658,0.024499789925092
"230",2.32219229708329,0.773590612495364,6.97084087827564,0.133036530741607,0.74949652647336,0.279414651206162,2.01043517500146,0.566795112103504
"231",1.13625793779054,0.441552795072003,2.92395861967417,0.791099922054231,0.894536471244572,0.11989721995048,6.67401211401887,0.913445969720243
"232",14.0615507417907,3.3048628675499,59.829172098309,0.000346292575717849,5.72937050156961,2.50975622658793,13.0792329535858,3.39888851634574e-05
"233",2.53101081935843,0.750587372538416,8.53467031565543,0.134301466004306,3.86542023450011,0.504680009467012,29.6058359931127,0.193039648886067
"234",5.62313756071697,1.29734726604244,24.3725614986664,0.0210066299021801,9.19048059596382,2.12101473219792,39.8228886874634,0.00302663743999449
"235",3.5638473372102,1.30040652306621,9.7669518090333,0.0134874407640985,7.08695210349954,2.9324861756977,17.127067992178,1.36384546060917e-05
"236",4.553671990053,1.06866947404607,19.4035004242101,0.0403872682114444,27051176.8153536,0,Inf,0.996577505681595
