"","hr_os_mammaprint","lower_ci_mammaprint","upper_ci_mammaprint","pval_mammaprint","hr_os_random70","lower_ci_random70","upper_ci_random70","pval_random70"
"665",3.2341972872745,2.52056115602251,4.1498822863397,2.75371436355734e-20,3.52883883549484,2.79462584732443,4.45594659436031,3.15045696096122e-26
"666",2.0812415241337,1.6745800626245,2.58665821865196,3.8966002657672e-11,3.12543011435083,2.23400621123992,4.3725542706837,2.8947781458553e-11
"667",2.32243784950432,1.89881686338046,2.8405675496308,2.39089824607089e-16,4.94715410719655,3.61023147510531,6.77915915616955,2.60679288003575e-23
"668",3.28721333977938,2.44289376809639,4.42334893246046,3.93111460646207e-15,4.39568412578343,2.41328561428586,8.00652803766129,1.30123389420003e-06
"669",1.88059326610221,1.43171942308989,2.47019840303369,5.64702483388327e-06,3.99630221402038,2.92324454923704,5.46325533727666,3.82071145812151e-18
"670",1.77871479441088,1.22882665825303,2.5746725940614,0.00227320783054542,4.52042890853072,2.84670131847146,7.17823025003986,1.61748980735192e-10
"671",3.8257045211921,2.73169153797489,5.35785789867032,5.8288815535315e-15,1.94453246186328,0.919869105074913,4.11059190310793,0.0816365987898293
"672",3.51863570962381,2.34481902942085,5.28006515713827,1.23706469162859e-09,2.26568846871268,1.84661663275895,2.77986461628914,4.58543816175949e-15
"673",2.99174449342328,2.36403422052055,3.78612755950615,7.45455551546974e-20,4.46229750106087,2.6626520886712,7.47829544561764,1.36800670442658e-08
"674",2.63763223454839,2.14699062884482,3.24039784396823,2.55530075404454e-20,2.7322409426878,2.23119962922437,3.34579679519516,2.37212958931183e-22
"675",2.68739795643248,2.09822222542779,3.4420128090889,4.9138765046521e-15,1219296.86281294,0,Inf,0.987174740193061
"676",3.12124916575224,2.5112009188211,3.8794969696342,1.0859572743646e-24,3.68031551029317,2.54746777982342,5.31693564981744,3.87498237920451e-12
"677",3.32268780671989,2.58967513323029,4.26318116865637,3.63849044228983e-21,8.29700951839357,4.42709333006247,15.5497889508785,4.05563228949437e-11
"678",2.91754263531539,2.3683234231366,3.59412694471001,8.09717975799328e-24,7.00144777541301,2.89645260146997,16.92424413469,1.54946024533837e-05
"679",4.34917345224779,3.24408825933489,5.83070132673116,8.52190886903656e-23,3.57160245969311,2.79273995545694,4.56768060526377,3.56385546961994e-24
"680",3.33083804074958,2.49136524014633,4.45317365552266,4.62445654110482e-16,2.27399036740608,1.86053817628275,2.77932065945944,1.02347061618425e-15
"681",5.03326810158806,2.59824410484003,9.75034937451486,1.66619291725683e-06,8.41003386934465,3.48003133458719,20.3241473663094,2.24620115051122e-06
"682",3.33211865906104,2.53432898824273,4.38104713696284,6.71417837184947e-18,2.68793238436374,2.19288849664398,3.29473227387918,1.72062205925515e-21
"683",3.44996475916476,2.5733861725361,4.62513437217583,1.23394187342283e-16,2.80032625463516,2.25572771172895,3.47640678953599,1.03546655379917e-20
"684",3.79232745701874,2.82265043709406,5.09512171690105,8.97901978761475e-19,2.61792292897948,2.09736550754205,3.26768054372568,1.76850294516323e-17
"685",2.6005389522852,2.11731505509428,3.19404654781122,8.08000686154451e-20,3.61517329013306,2.81862016970784,4.63683544812147,4.49725488745362e-24
"686",1.53568419600858,0.818807144145858,2.88019708515198,0.1812426999288,2.39553061418698,1.95446542703913,2.936131201973,3.94843172478306e-17
"687",6.85442709886792,1.70768597879896,27.5127695823438,0.00663423072041933,2.86684733225415,2.33544928206467,3.51915740134886,7.56417351613121e-24
"688",3.53858811112102,2.48813070190257,5.03253539317378,2.02692344466635e-12,2.29746178153313,1.8732075524099,2.81780341469088,1.39697007607049e-15
"689",2.52628631314551,2.06323238279927,3.09326404005324,2.94088658078215e-19,2.73286478572642,2.23131007158002,3.34715915649274,2.52525028121998e-22
"690",2.65558968534409,2.13984271094629,3.29564249784849,7.6589639275989e-19,3.02593463925397,2.41087617424901,3.79790573188159,1.29327731698018e-21
"691",2.57157875150876,2.01052017182938,3.28920712553417,5.4177408516737e-14,2.13371403816397,1.73527913076647,2.62363300286281,6.65518874922266e-13
"692",2.5877237741244,2.05131526718275,3.26440037682029,1.04030973036628e-15,3.66581712553136,2.61965057227526,5.12977392483588,3.52475344147189e-14
"693",2.64643890394437,2.15741347737135,3.24631274707883,9.96926105335552e-21,2.44734754513549,1.65299453616116,3.62343000878302,7.81484598798861e-06
"694",2.19836205004921,1.79390606425113,2.6940071163169,3.11385279591635e-14,2.09342094140408,1.704793925504,2.57063987168628,1.7726228002194e-12
"695",2.70509342002066,2.03870748300671,3.58929884352368,5.33517409036708e-12,2.52567714161887,2.00951991260673,3.17441244730996,1.97009703453436e-15
"696",2.00774168156901,1.61812467886578,2.49117185625961,2.41763996305157e-10,2.93293942496765,2.40089480662112,3.58288653330703,5.89305497611654e-26
"697",2.47543537009656,2.0008084130907,3.06265219170052,7.0692069821714e-17,3.46638544943848,2.80724189611508,4.28029665014169,7.20265269810036e-31
"698",1.74450128443023,1.40301717550902,2.16910012543118,5.53965806677572e-07,1.91567854578055,1.51007409846056,2.43022795669768,8.53727038326951e-08
"699",3.81194084047524,2.92061777583997,4.9752806038113,7.05659448028525e-23,3.79617548213651,2.22511595296536,6.47649317868995,9.85451580756345e-07
"700",3.14546500329346,2.477572480864,3.99340490070893,4.95317249796389e-21,3.55249606503863,1.32559401350234,9.52043247296448,0.0117233483133694
"701",2.3395339382691,1.89363282712373,2.89043312405319,3.32218986489588e-15,5.97432035738079,1.91787926082639,18.6104018441886,0.00204732659982002
"702",2.78162295245157,2.26828804937301,3.41113036844863,8.4845565819045e-23,2.57445656823409,2.1001949439562,3.15581495936688,8.79857953796307e-20
"703",2.91516668905426,1.7891747535588,4.749785792622,1.74182041587094e-05,1.65454080863033,1.046158048265,2.61672248467917,0.0313264334922838
"704",2.74205921946543,2.23176955547167,3.36902559882186,7.89874856313724e-22,2.48937566066379,1.94236907862055,3.19042927943763,5.83542581830607e-13
"705",3.24196184549714,1.53260407312095,6.85781591735975,0.00209144429624918,2.62593394531585,1.65302593526395,4.17145849805495,4.34397295844869e-05
"706",2.66682850459001,2.0748351082251,3.42772986860515,1.87173068723457e-14,6.40653524095771,4.19893782216071,9.77478008295741,6.91484712168452e-18
"707",3.21175987687803,2.36869287853001,4.35489193226486,5.8724088897697e-14,3.84372777935207,2.73370189521663,5.40448220327696,9.64871674965671e-15
