"","hr_rfs_mammaprint","lower_ci_mammaprint","upper_ci_mammaprint","pval_mammaprint","hr_rfs_random70","lower_ci_random70","upper_ci_random70","pval_random70"
"446",4.72374222422785,2.63958234863706,8.45351182639735,1.7064172996129e-07,4.89595640210454,3.25071695715884,7.37387764213678,2.91876602912889e-14
"447",3.62670568267899,2.72888615792611,4.81991308819276,6.83103358677178e-19,4.62507240631485,3.54809274248006,6.02895592540314,1.00316851735172e-29
"448",3.1665832057334,2.44572799112819,4.09990368315952,2.21227014154957e-18,5.31010212646506,3.99275872386613,7.06208076760167,1.72458982582273e-30
"449",3.26012740721794,2.51385511750352,4.22794083767586,5.08989656290181e-19,3.11265626344386,2.23072309421717,4.34326835073014,2.38714942278192e-11
"450",4.27458199522219,3.03966755529376,6.01120053476108,6.76231657240472e-17,9135384.79800109,0,Inf,0.991746816968292
"451",3.62868893653329,2.69169067402955,4.89186351357643,2.7419045732938e-17,3.68598221989369,2.83260019140586,4.79646402856072,2.75429828572083e-22
"452",4.21542780574465,2.56185772193694,6.93630697492833,1.49408750654172e-08,4.97659336767545,2.94814905120394,8.40068840382318,1.88609058721576e-09
"453",4.04676883251999,2.43595666699255,6.72275422865939,6.74189728032504e-08,4.90080414921065,3.34087436022557,7.18910043276775,4.2910799395893e-16
"454",3.13776232177418,2.15318122231667,4.57256095580872,2.65177216934975e-09,5.29886993679316,4.0777328824543,6.88569443277285,1.00404723074584e-35
"455",4.36659503006726,3.34913997018604,5.69314878635812,1.2834240849441e-27,4.17214547562384,2.84968542519139,6.10832259444895,2.07387336104911e-13
"456",15.1165712442922,3.75755464621676,60.8136800921404,0.000131396961977077,8.61994285873891,2.14279077796075,34.6760008733271,0.00242093477064828
"457",4.77893995141145,3.57628574915782,6.38602971380983,3.86559009258194e-26,3.70429521712464,2.85638862904515,4.80389920197921,5.40475340385773e-23
"458",3.43280888605245,2.65336643112283,4.44121728153993,6.22831275708687e-21,3.91322750860374,3.02550866701059,5.06141320997229,2.6512909989508e-25
"459",7.39645992435982,3.92477510183238,13.9390456760489,6.05662884430298e-10,3.6373947257099,2.64036424051479,5.01091485318807,2.78437616920046e-15
"460",4.09925001032938,3.13280885788441,5.3638288863027,8.31224220802338e-25,7.50522923677618,4.44010911825223,12.686279637815,5.23583693848929e-14
"461",4.48895484863737,3.427863692601,5.87850551834953,9.96027871815436e-28,4.05722439691065,3.05105261144544,5.3952100809853,5.92056935127154e-22
"462",3.92875596532066,2.59115025135527,5.95686160112464,1.16853142791449e-10,25574858.1355822,0,Inf,0.992381559683108
"463",2.45033441359532,1.71758138373132,3.49569388403941,7.66152667800663e-07,10407033.0095051,0,Inf,0.992119496893513
