"","hr_os_mammaprint","lower_ci_mammaprint","upper_ci_mammaprint","pval_mammaprint","hr_os_random70","lower_ci_random70","upper_ci_random70","pval_random70"
"1",2.5224528870173,1.8860515989577,3.37359199013335,4.45683178884523e-10,2.42783585738206,1.97323037864532,2.98717626394783,5.06406725303196e-17
"2",1.71414350671186,1.32971729734778,2.20970876099984,3.19176952972933e-05,5.68662110193716,3.19869370739635,10.1096455350578,3.2047259708229e-09
"3",2.54782225172396,2.06791568894307,3.13910197649188,1.5888632918147e-18,1.86778620777305,1.4925918651547,2.33729353575542,4.74391825321738e-08
"4",3.72094750551422,2.69053183503513,5.14599015648212,1.97760731498974e-15,4.31810606980881,3.18267525103853,5.85860590835817,5.59789338097919e-21
"5",5.79472014831752,0.813841503050529,41.2596082547442,0.0793814607341808,3.2717110015458,1.35050725850912,7.92597952376245,0.00865096326087982
"6",2.41466801586252,1.96949870587385,2.96045974005474,2.27565826360372e-17,2.84144160900265,2.29932626343984,3.51137224227282,4.09663256539162e-22
"7",2.1726692501728,1.73699686537072,2.71761668933062,1.0786386149083e-11,2.68630393084927,2.18173242695559,3.30756820577025,1.28687017175097e-20
"8",2.80326010661831,2.01999358658373,3.89024365104437,7.03518465439516e-10,5.63506548513122,2.10317224662411,15.0981276368052,0.000585077899597807
"9",1.90225145015643,1.5492165830839,2.33573576421385,8.28803392648893e-10,3.63493911221562,2.70733754503562,4.88036018033395,9.04493610884637e-18
"10",2.8544167157403,2.26957002063742,3.58997286402705,3.06944566145658e-19,3.40697503281463,2.50965616579955,4.62512715184003,3.84784827199326e-15
"11",2.30273917235888,1.86716902622465,2.83991841201317,6.34892220974999e-15,443936.005238509,0,Inf,0.98851856417536
"12",4.3422325064444,3.15424989630598,5.9776440548049,2.17831687555295e-19,2.81886975279361,2.18026271761984,3.64452715674984,2.64102160577724e-15
"13",3.27091173849736,2.40416863896568,4.45013025610495,4.53939909118788e-14,1.75310664214017,1.42113853148229,2.16262020248678,1.59485554874433e-07
"14",3.42685232483016,2.63907971053843,4.44977724973604,2.43199568328104e-20,2.72980127956567,2.20992444822867,3.37197727817855,1.20505315173968e-20
"15",2.12336658406453,1.72435516348601,2.61470823748803,1.33752915389865e-12,1.84627856488384,1.25493719095887,2.71626704803052,0.00185345914454529
"16",2.48205360644805,2.02782600132959,3.03802698123136,1.19310702345614e-18,2.8795098997008,2.23725600994363,3.70613699354141,2.14432842206009e-16
"17",2.59598423503657,2.06403146235898,3.26503460410253,3.5222735637769e-16,4.50452277735139,2.80286821511518,7.23927202222873,5.04569930861796e-10
"18",1.71969191403056,1.40575090039267,2.10374418281077,1.35349769371497e-07,1.55883506412223,1.2493406000995,1.94499943165492,8.44602404279343e-05
"19",2.06135758795482,1.67139839015485,2.54229938861268,1.37226919471607e-11,2.59070100493258,2.05113724542154,3.27220019622789,1.35841235977453e-15
"20",2.89017815790273,2.30725126924707,3.62038148846437,2.59815275120573e-20,2.21458224396701,1.81900681805818,2.69618259074446,2.38940336980568e-15
"21",2.43012097168971,1.98019347643187,2.98227825075321,1.89691652143376e-17,2.54959634560947,1.7515288259304,3.7112957716195,1.02947375615693e-06
"22",2.74022367881868,2.22867374871298,3.3691902254849,1.1605681176982e-21,3.0504675860751,2.40123285128913,3.87523954151268,6.58699341208006e-20
"23",1.83231359477356,0.455675539267286,7.36790286130032,0.393691754659594,3.58389417012501,2.82324298222639,4.54948352073016,9.92229313110684e-26
"24",4.74721619764016,3.4336837288463,6.56323162142516,4.33053294863205e-21,2.32680906297412,1.91048984594073,2.83384935389312,4.61678881077513e-17
"25",4.61850232856301,2.83723739995128,7.51807506813077,7.51523989908135e-10,2.7100157963117,2.18014436300516,3.36866940597252,2.67664760261698e-19
"26",2.79435479634379,2.19505169153543,3.55728239018718,7.21819101302442e-17,2.9581074422571,2.38586074356897,3.66760703176969,4.72374384304749e-23
"27",4.44153385541782,1.9817345176336,9.95452358188677,0.000293382158636061,3.90030227495915,2.86277720183417,5.31384622816788,6.36712777156851e-18
"28",3.05917308031644,2.42090031212704,3.86572709683788,7.58503173607092e-21,3.03272642914569,2.39430923172804,3.84137081048662,3.58982317117165e-20
"29",13.0906161796841,1.83889181075435,93.1888602481245,0.0102208150823042,2.91761543956894,2.23095081828413,3.81562864741151,5.24263554917624e-15
"30",3.26746118374076,2.60250893320637,4.10231160055962,2.00595228533055e-24,2.62809433355353,2.08795509515856,3.30796377856569,1.85017202695821e-16
"31",2.39343265662115,1.95907073477436,2.92410058508703,1.32433714520254e-17,2.34328242666845,1.90684425659802,2.87961248651191,5.58919054905017e-16
"32",3.28093389478931,2.56884971639756,4.19040754048978,1.77098084072484e-21,2.57073845731503,2.09386891405452,3.15621296613146,1.89231636603649e-19
"33",2.25225582037733,1.83244654381206,2.76824243389434,1.21417939720899e-14,1.56258152411662,1.25362007183208,1.94768819865997,7.15957155644383e-05
"34",2.30061357454802,1.87761873316271,2.8189017961486,9.1676590940073e-16,3.21476108661436,1.71335976610632,6.03182650162022,0.00027582962417206
"35",2.3920073314242,1.91264856603238,2.9915056927872,2.11934513193544e-14,2.42543162570916,1.96383602029825,2.99552432595507,1.93893549084068e-16
"36",2.47784771844476,2.02186928431528,3.03665986888028,2.23011170987999e-18,2.30968153635549,1.8605666160525,2.86720655597904,3.25318052180356e-14
"37",2.38986232180452,1.9584563157943,2.91629783678093,9.70041162949035e-18,4.56045754866802,3.47182053378552,5.99045165232839,1.09876064020278e-27
"38",1.99881991521706,1.58551594949788,2.519861786779,4.63652804505191e-09,2.31036029541,1.89021661197029,2.82389047943194,2.90298623638665e-16
"39",2.28881930727904,1.86121431499891,2.81466447961226,4.24359014004856e-15,3300269.51080921,0,Inf,0.990973975759333
"40",3.25849468354861,2.48789884339989,4.26777303702773,9.4496660221844e-18,3.86499652142659,2.26344294768201,6.59976790046238,7.33773914396922e-07
"41",2.76030842827752,1.23161456030979,6.18643434785587,0.01366634873622,2.92872911806474,2.31946997170594,3.69802340691295,1.71336578513008e-19
"42",1.90671095240172,1.46515914639165,2.48133226002252,1.57094577798672e-06,12.0403078488442,3.84925653873784,37.6615618200587,1.89805981912538e-05
"43",2.23885344278605,1.81968118283477,2.75458403678513,2.53537235429737e-14,2.56869493233578,2.08091899169144,3.1708075526978,1.63058434786029e-18
"44",2.01602703154672,1.49191599593496,2.72425860638354,5.00969802186314e-06,2.76530841346682,2.26031306263607,3.38312897801521,4.76857281458485e-23
"45",3.69975645480173,2.89169181512664,4.73362954974771,2.34242318197532e-25,2.99434922502731,2.42890070311255,3.6914342648639,9.54644188403139e-25
"46",7.4295642902333,2.38380829469568,23.1555640046787,0.000544734395941992,8.6400703692091,4.08465641504842,18.2759107252844,1.6853942113817e-08
"47",2.12229975025631,1.73201575850825,2.60052843503994,3.93663748918046e-13,5.54209300556014,2.4736103834635,12.416989792577,3.17655414243085e-05
"48",2.11534030673198,1.55333545527937,2.88068143817663,1.98323510880141e-06,3.34232331929871,2.49818960301397,4.47168828068552,4.49446637818144e-16
